period,DMA,sales
2021-10-10,"WACO-TEMPLE, TX",11.0
2021-10-10,"ABILENE, TX",17.0
2021-10-10,"MONROE-ELDORADO, LA",10.0
2021-10-10,"CHARLESTON-HUNTINGTON, WV",39.0
2021-10-10,"GREENVILLE-NEW BERN, NC",28.0
2021-10-10,"BLUEFIELD-BECKLEY, WV",19.0
2021-10-10,"JOPLIN, MO - PITTSBURG, KS",2.0
2021-10-10,"WICHITA-HUTCHINSON, KS",0.0
2021-10-10,"CLARKSBURG-WESTON, WV",1.0
2021-10-10,"GREENWOOD-GREENVILLE, MS",8.0
2021-10-10,"COLUMBUS, OH",0.0
2021-10-10,"SPOKANE, WA",0.0
2021-10-10,"FT SMITH, AR",2.0
2021-10-10,"CLEVELAND, OH",0.0
2021-10-10,"LAS VEGAS, NV",0.0
2021-10-10,"RENO, NV",0.0
2021-10-10,"PALM SPRINGS, CA",1.0
2021-10-10,"SHERMAN-ADA, OK",0.0
2021-10-10,"LOS ANGELES, CA",1.0
2021-10-10,"MEMPHIS, TN",0.0
2021-10-10,"KANSAS CITY, MO",1.0
2021-10-10,"SACRAMENTO, CA",5.0
2021-10-10,"WICHITA FALLS, TX - LAWTON, OK",0.0
2021-10-10,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-10-10,"MONTEREY-SALINAS, CA",0.0
2021-10-10,"SAN ANTONIO, TX",0.0
2021-10-10,"LAFAYETTE, LA",3.0
2021-10-10,"FRESNO-VISALIA, CA",0.0
2021-10-10,"NEW YORK, NY",942.0
2021-10-10,No DMA,0.0
2021-12-12,"TULSA, OK",9.0
2021-12-12,"AUSTIN, TX",14.0
2021-12-12,"EUREKA, CA",13.0
2021-12-12,"HOUSTON, TX",15.0
2021-12-12,"LUBBOCK, TX",20.0
2021-12-12,"PHOENIX, AZ",39.0
2021-12-12,"AMARILLO, TX",16.0
2021-12-12,"VICTORIA, TX",9.0
2021-12-12,"JONESBORO, AR",8.0
2021-12-12,"ST JOSEPH, MO",6.0
2021-12-12,"ALEXANDRIA, LA",18.0
2021-12-12,"SAN ANGELO, TX",6.0
2021-12-12,"SHREVEPORT, LA",17.0
2021-12-12,"LITTLE ROCK, AR",16.0
2021-12-12,"PARKERSBERG, WV",8.0
2021-12-12,"SPRINGFIELD, MO",16.0
2021-12-12,"LAKE CHARLES, LA",21.0
2021-12-12,"OKLAHOMA CITY, OK",13.0
2021-12-12,"ODESSA-MIDLAND, TX",12.0
2021-12-12,"RALEIGH-DURHAM, NC",17.0
2021-12-12,"TYLER-LONGVIEW, TX",42.0
