"brand","dma","period","gross_add"
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-01-12,18
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-01-19,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-01-26,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-02-02,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-02-09,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-02-16,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-02-23,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-03-01,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-03-08,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-03-15,5
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-03-22,7
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-03-29,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-04-05,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-04-12,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-04-19,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-04-26,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-05-03,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-05-10,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-05-17,19
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-05-24,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-05-31,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-06-07,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-06-14,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-06-21,20
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-06-28,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-07-05,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-07-12,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-07-19,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-07-26,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-08-02,18
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-08-09,7
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-08-16,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-08-23,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-08-30,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-09-06,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-09-13,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-09-20,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-09-27,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-10-04,19
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-10-11,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-10-18,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-10-25,20
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-11-01,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-11-08,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-11-15,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-11-22,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-11-29,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-12-06,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-12-13,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-12-20,5
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-12-27,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-01-03,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-01-10,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-01-17,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-01-24,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-01-31,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-02-07,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-02-14,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-02-21,21
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-02-28,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-03-07,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-03-14,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-03-21,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-03-28,26
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-04-04,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-04-11,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-04-18,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-04-25,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-05-02,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-05-09,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-05-16,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-05-23,19
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-05-30,21
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-06-06,18
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-06-13,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-06-20,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-06-27,19
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-07-04,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-07-11,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-07-18,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-07-25,18
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-08-01,21
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-08-08,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-08-15,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-08-22,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-08-29,14
