"brand","period","dma","sales"
"Suddenlink",2019-11-03,"ABILENE, TX",19
"Suddenlink",2019-11-10,"ABILENE, TX",11
"Suddenlink",2019-11-17,"ABILENE, TX",14
"Suddenlink",2019-11-24,"ABILENE, TX",4
"Suddenlink",2019-12-01,"ABILENE, TX",10
"Suddenlink",2019-12-08,"ABILENE, TX",10
"Suddenlink",2019-12-15,"ABILENE, TX",14
"Suddenlink",2019-12-22,"ABILENE, TX",2
"Suddenlink",2019-12-29,"ABILENE, TX",7
"Suddenlink",2020-01-05,"ABILENE, TX",12
"Suddenlink",2020-01-12,"ABILENE, TX",12
"Suddenlink",2020-01-19,"ABILENE, TX",12
"Suddenlink",2020-01-26,"ABILENE, TX",20
"Suddenlink",2020-02-02,"ABILENE, TX",11
"Suddenlink",2020-02-09,"ABILENE, TX",14
"Suddenlink",2020-02-16,"ABILENE, TX",16
"Suddenlink",2020-02-23,"ABILENE, TX",10
"Suddenlink",2020-03-01,"ABILENE, TX",11
"Suddenlink",2020-03-08,"ABILENE, TX",11
"Suddenlink",2020-03-15,"ABILENE, TX",10
"Suddenlink",2020-03-22,"ABILENE, TX",14
"Suddenlink",2020-03-29,"ABILENE, TX",9
"Suddenlink",2020-04-05,"ABILENE, TX",8
"Suddenlink",2020-04-12,"ABILENE, TX",9
"Suddenlink",2020-04-19,"ABILENE, TX",8
"Suddenlink",2020-04-26,"ABILENE, TX",8
"Suddenlink",2020-05-03,"ABILENE, TX",13
"Suddenlink",2020-05-10,"ABILENE, TX",12
"Suddenlink",2020-05-17,"ABILENE, TX",15
"Suddenlink",2020-05-24,"ABILENE, TX",11
"Suddenlink",2020-05-31,"ABILENE, TX",16
"Suddenlink",2020-06-07,"ABILENE, TX",18
"Suddenlink",2020-06-14,"ABILENE, TX",11
"Suddenlink",2020-06-21,"ABILENE, TX",14
"Suddenlink",2020-06-28,"ABILENE, TX",10
"Suddenlink",2020-07-05,"ABILENE, TX",10
"Suddenlink",2020-07-12,"ABILENE, TX",13
"Suddenlink",2020-07-19,"ABILENE, TX",13
"Suddenlink",2020-07-26,"ABILENE, TX",18
"Suddenlink",2020-08-02,"ABILENE, TX",17
"Suddenlink",2020-08-09,"ABILENE, TX",8
"Suddenlink",2020-08-16,"ABILENE, TX",9
"Suddenlink",2020-08-23,"ABILENE, TX",12
"Suddenlink",2020-08-30,"ABILENE, TX",22
"Suddenlink",2020-09-06,"ABILENE, TX",14
"Suddenlink",2020-09-13,"ABILENE, TX",13
"Suddenlink",2020-09-20,"ABILENE, TX",11
"Suddenlink",2020-09-27,"ABILENE, TX",15
"Suddenlink",2020-10-04,"ABILENE, TX",22
"Suddenlink",2020-10-11,"ABILENE, TX",20
"Suddenlink",2020-10-18,"ABILENE, TX",22
"Suddenlink",2020-10-25,"ABILENE, TX",6
"Suddenlink",2020-11-01,"ABILENE, TX",19
"Suddenlink",2020-11-08,"ABILENE, TX",6
"Suddenlink",2020-11-15,"ABILENE, TX",13
"Suddenlink",2020-11-22,"ABILENE, TX",12
"Suddenlink",2020-11-29,"ABILENE, TX",9
"Suddenlink",2020-12-06,"ABILENE, TX",13
"Suddenlink",2020-12-13,"ABILENE, TX",12
"Suddenlink",2020-12-20,"ABILENE, TX",7
"Suddenlink",2020-12-27,"ABILENE, TX",4
"Suddenlink",2021-01-03,"ABILENE, TX",8
"Suddenlink",2021-01-10,"ABILENE, TX",15
"Suddenlink",2021-01-17,"ABILENE, TX",10
"Suddenlink",2021-01-24,"ABILENE, TX",29
"Suddenlink",2021-01-31,"ABILENE, TX",17
"Suddenlink",2021-02-07,"ABILENE, TX",14
"Suddenlink",2021-02-14,"ABILENE, TX",5
"Suddenlink",2021-02-21,"ABILENE, TX",18
"Suddenlink",2021-02-28,"ABILENE, TX",8
"Suddenlink",2021-03-07,"ABILENE, TX",20
"Suddenlink",2021-03-14,"ABILENE, TX",8
"Suddenlink",2021-03-21,"ABILENE, TX",16
"Suddenlink",2021-03-28,"ABILENE, TX",7
"Suddenlink",2021-04-04,"ABILENE, TX",9
